Sheet A Tab,Sheet B Tab,Match Type,A - Business Name,B - Business Name,A - Email,B - Email,A - Phone,B - Phone,A - Primary Contact,B - Primary Contact,A - Website,B - Website
Calgary,Calgary,"Email, Phone",,Enhanced Beauty & Wellness,info@enhancedbeauty.ca,info@enhancedbeauty.ca,+1 403-242-1411,14033693986,,Lisa Gibbons,http://enhancedbeauty.ca/,http://enhancedbeauty.ca/
Calgary,Calgary,"Email, Phone",,CalgaryMD Aesthetics,info@calgarymdaesthetics.com,info@calgarymdaesthetics.com,+1 403-369-3986,14032421411,,Aymen Franka,http://www.calgarymdaesthetics.com/,http://www.calgarymdaesthetics.com/
Calgary,Calgary,Phone,,Glass Skin Laser Boutique,,,+1 587-899-9757,15878999757,,,http://www.glasskinlaser.com/,http://www.glasskinlaser.com/
Calgary,Calgary,"Email, Phone",,Aisthetikos Wellness & Advanced Medical Aesthetics,ally@aisthetikos.ca,ally@aisthetikos.ca,+1 587-714-2545,15877142545,Ally Kroeker,Ally Kroeker,http://www.aisthetikos.ca/,http://www.aisthetikos.ca/
Calgary,Calgary,Phone,,Aisthetikos Wellness & Advanced Medical Aesthetics,hello@aisthetikos.ca,ally@aisthetikos.ca,+1 587-714-2545,15877142545,,Ally Kroeker,http://www.aisthetikos.ca/,http://www.aisthetikos.ca/
Calgary,Calgary,Phone,,Aisthetikos Wellness & Advanced Medical Aesthetics,info@aisthetikos.ca,ally@aisthetikos.ca,+1 587-714-2545,15877142545,,Ally Kroeker,http://www.aisthetikos.ca/,http://www.aisthetikos.ca/
Calgary,Calgary,"Email, Phone",,Aisthetikos Wellness & Advanced Medical Aesthetics,training@aisthetikos.ca,training@aisthetikos.ca,+1 587-714-2545,15877142545,,Training,http://www.aisthetikos.ca/,http://www.aisthetikos.ca/
Calgary,Calgary,Email,,PHI Medical Aesthetics Mahogany,lisa@beautyphi.com,lisa@beautyphi.com,+1 403-930-8677,15873915750,Lisa Iverson,Lisa,https://www.beautyphi.com/,https://www.beautyphi.com/
Calgary,Calgary,Email,,PHI Medical Aesthetics Mahogany,info@beautyphi.com,info@beautyphi.com,+1 403-930-8677,15873915750,,,https://www.beautyphi.com/,https://www.beautyphi.com/
Calgary,Calgary,Email,,PHI Medical Aesthetics Mahogany,mardaloop@beautyphi.com,mardaloop@beautyphi.com,+1 403-930-8677,15873915750,,Mardaloop,https://www.beautyphi.com/,https://www.beautyphi.com/
Calgary,Calgary,Email,,PHI Medical Aesthetics Mahogany,mahogany@beautyphi.com,mahogany@beautyphi.com,+1 403-930-8677,15873915750,,Mahogany,https://www.beautyphi.com/,https://www.beautyphi.com/
Calgary,Calgary,Email,,PHI Medical Aesthetics Mahogany,carissa@beautyphi.com,carissa@beautyphi.com,+1 403-930-8677,15873915750,,Carissa-Lynn Sakal,https://www.beautyphi.com/,https://www.beautyphi.com/
