Business Name,Primary Contact,Phone,Email,City,Job Title,Contact LinkedIn,Website,Full Address,Type,Quadrant,Company Social,Personal Instagram,Status,Notes
The vanity lab,,,,Edmonton,,,,,,,,,,The vanity lab
Md skin cosmetic clinic,,,,Edmonton,,,,,,,,,,Md skin cosmetic clinic
NV skin,,,,Edmonton,,,,,,,,,,NV skin
Nisa medi spa,,,,Edmonton,,,,,,,,,Has Device,Nisa medi spa HAS AEROLASE
Bespoke beauty by nurse Sheena,,,,Edmonton,,,,,,,,,,Bespoke beauty by nurse Sheena
Advanced skin care clinic,,,,Edmonton,,,,,,,,,,Advanced skin care clinic - ON GATEWAY NEAR hoteL - done
Vida dermatology,,,,Edmonton,,,,,,,,,,Vida dermatology
Zia cosmetic,,,,Edmonton,,,,,,,,,,Zia cosmetic
Youthful you aesthetics and academy,,,,Edmonton,,,,,,,,,,Youthful you aesthetics and academy
Dermapure west edmonton,,,,Edmonton,,,,,,,,,,Dermapure west edmonton
Jack nathan medspa,,,,Edmonton,,,,,,,,,,Jack nathan medspa
Glo skin & medspa,,,,Edmonton,,,,,,,,,Interested,Glo skin & medspa - interested
The confidence code,,,,Edmonton,,,,,,,,,,The confidence code
Neoglow laser and aesthetics,,,,Edmonton,,,,,,,,,,Neoglow laser and aesthetics
Monalisa medical spa,,,,Edmonton,,,,,,,,,,Monalisa medical spa
Etanda skin solutions,,,,Edmonton,,,,,,,,,,Etanda skin solutions
Studio you cosmetics,,,,Edmonton,,,,,,,,,,Studio you cosmetics - inside sculpt
La vie academy,,,,Edmonton,,,,,,,,,Interested,La vie academy / medical academy - interested***
Reversal,,,,Edmonton,,,,,,,,,Interested,Reversal ** clare suggested edmonton - interested**
Balwin aesthetics,,,,Edmonton,,,,,,,,,Interested,Balwin aesthetics - cosmetic surgeon interested**
NAKATSUI DERMASURGERY,,,,Edmonton,,,,,,,,,Interested,NAKATSUI DERMASURGERY *** 9am  - DONE
Kayu aesthetics,,,,Edmonton,,,,,,,,,,Kayu aesthetics 10am
The injectionist,,,,Edmonton,,,,,,,,,,The injectionist - nika there this week
Albany cosmetic and laser,,,,Edmonton,,,,,,,,,,Albany cosmetic and laser
Radiant belle med spa,,,,Edmonton,,,,,,,,,,Radiant belle med spa in edmonton / sherwood (thurs)
Bella vita laser clinic,,,,Edmonton,,,,,,,,,Follow-up Needed,Bella vita laser clinic - not there sept 26
Reemake studio,,,,Edmonton,,,,,,,,,Interested,Reemake studio - Reema - Interested
Rejuve Derma Glow MediSpa,,,,Edmonton,,,,,,,,,Interesting,Rejuve Derma Glow MediSpa Aesthetic & Laser Centre - Interested
ADVANCED SKIN and laser centre,,,,Edmonton,,,,,,,,,Interested,ADVANCED SKIN and laser centre *****
Bellavera,,,,Edmonton,,,,,,,,,,Bellavera - on gateway - done
