Business Name,Primary Contact,Phone,Email,City,Job Title,Contact LinkedIn,Website,Full Address,Type,Quadrant,Company Social,Personal Instagram,Status,Notes
Horizon cosmetic and vein,,,,Red Deer,,,,,,,,,,Horizon cosmetic and vein - emailed
Central Alberta dermatology,,,,Red Deer,,,,,,,,,Interested,Central Alberta dermatology - emailed ***
You glow aesthetics red deer,,,,Red Deer,,,,,,,,,Interested,You glow aesthetics red deer **** to email interested
Hebe beauty bar,,,,Red Deer,,,,,,,,,Meeting Scheduled,Hebe beauty bar (saif knows get meeting booked) - emailed ** on vacay until aug 5
Innovation dermatology,,,,Red Deer,,,,,,,,,,Innovation dermatology - emailed
Sapphires aesthetics spa,,,,Red Deer,,,,,,,,,,Sapphires aesthetics spa
Delmar college,,,,Red Deer,,,,,,,,,Interested,Delmar college - carrie - interested
Laser and skin care med spa,,,,Red Deer,,,,,,,,,Interested,Laser and skin care med spa - emailed NOT INTERESTED WOULDNT TAKE INFO
Pure skin treatments,,,,Red Deer,,,,,,,,,,Pure skin treatments - TEMPORARY CLOSURE
Luxe laser studio,,,,Red Deer,,,,,,,,,Interested,Luxe laser studio ** not interested send email anyway
Awc skin & laser studio,,,,Red Deer,,,,,,,,,,Awc skin & laser studio
Still skin,,,,Red Deer,,,,,,,,,Interested,Still skin - Jenelle and Jordanna - interested
Aesthetic solutions,,,,Red Deer,,,,,,,,,,Aesthetic solutions - emailed 5pm maybe??
Cecilia skin co,,,,Red Deer,,,,,,,,,Interested,Cecilia skin co - emailed 4pm - interested
Essence 530pm,,,,Red Deer,,,,,,,,,,Essence 530pm
Au natural medi aesthetics 6pm,,,,Red Deer,,,,,,,,,,Au natural medi aesthetics 6pm
Beautyblast aesthetics 6pm,,,,Red Deer,,,,,,,,,,Beautyblast aesthetics 6pm
Iconic beauty aesthetics,,,,Red Deer,,,,,,,,,,Iconic beauty aesthetics - emailed 7pm
Aurora skin & vein,,,,Red Deer,,,,,,,,,,Aurora skin & vein - emailed 6pm
Solskinn medical aesthetics tues to fri 10am to 5pm,,,solskinnmedicalaesthetics@gmail.com,Red Deer,,,,,,,,,,Solskinn medical aesthetics tues to fri 10am to 5pm -
Aesthetics essentials,,,,Red Deer,,,,,,,,,,Aesthetics essentials (inside feet terrific)
Simply Laser Inc,,,,Red Deer,,,,,,,,,,Simply Laser Inc (inside feet terrific)
Feet terrific,,,,Red Deer,,,,,,,,,,Feet terrific
Amp skin co,,,,Red Deer,,,,,,,,,,Amp skin co - no time ????
Eternal beauty institute and medispa,,,,Red Deer,,,,,,,,,,Eternal beauty institute and medispa
